Sample,ContigName,RelAbundance,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRMatch,Reads,Treatment
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_116_length_4640_cov_3_411700-cat_2,0.000655469,Caudovirales,Caudovirales,N,lysogenic,Outlier,Bacteroides,63,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_119_length_5483_cov_24_117065-cat_2,0.000657546,Caudovirales,Caudovirales,N,lytic,Outlier,Bacteroides,81,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_46_length_3191_cov_1_921345-cat_2,0.000658247,Unassigned,Unassigned,N,lytic,650_0,NA,53,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_70_length_5612_cov_13_225706-cat_2,0.000660174,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,93,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_3_length_8942_cov_3_633466-cat_2,0.000663157,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,137,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_15_length_4176_cov_2_298592-cat_2,0.000663303,Caudovirales,Siphoviridae,N,lytic,Outlier,Hungatella,72,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_93_length_5081_cov_3_085789-cat_2,0.000670691,Unassigned,Unassigned,N,lytic,Outlier,NA,80,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_43_length_6291_cov_2_916613-cat_2,0.000674589,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,95,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_30_length_13518_cov_2_630871-cat_1,0.000676319,Caudovirales,Siphoviridae,N,lysogenic,647_0,Enterocloster,207,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_87_length_3158_cov_3_401826-cat_2,0.000678203,Unassigned,Unassigned,N,lysogenic,Outlier,NA,53,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_13_length_17630_cov_18_447009-cat_1,0.000687091,Caudovirales,Siphoviridae,N,lytic,179_0,NA,286,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_12_length_9350_cov_2_896238-cat_1,0.000692277,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,148,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_16_length_10186_cov_3_026543-cat_2,0.000692378,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,171,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_2_length_12904_cov_3_497456-cat_2,0.000692515,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,198,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_16_length_10448_cov_4_595485-cat_2,0.00069265,Caudovirales,Siphoviridae,N,lytic,Overlap,NA,171,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_4_length_37683_cov_5_575620-circular-cat_1,0.000699335,Caudovirales,Siphoviridae,N,lysogenic,179_0,Hungatella,615,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_111_length_4707_cov_4_912664-cat_2,0.000701365,Unassigned,Unassigned,N,lytic,690_0,NA,69,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_24_length_17170_cov_5_511764-cat_2,0.000703441,Caudovirales,Siphoviridae,N,lysogenic,Overlap,Hungatella,289,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_11_length_4654_cov_39_516015-cat_2,0.000709204,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,73,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_24_length_11128_cov_6_902736-cat_2,0.000711538,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,176,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_11_length_16026_cov_4_571923-cat_2,0.000712697,Caudovirales,Siphoviridae,N,lysogenic,Overlap,NA,285,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_45_length_4156_cov_1_933482-cat_1,0.000719106,Caudovirales,Siphoviridae,N,lytic,297_0,NA,60,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_15_length_15106_cov_19_041725-cat_2,0.000723903,Caudovirales,Siphoviridae,N,lysogenic,178_0,Hungatella,273,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_83_length_4686_cov_1_542882-cat_2,0.00072419,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,83,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_18_length_15402_cov_5_850213-cat_2,0.000726109,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,253,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_4_length_37683_cov_43_077910-circular-cat_1,0.00073189,Caudovirales,Siphoviridae,N,lysogenic,179_0,Hungatella,660,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_17_length_10125_cov_2_478196-cat_2,0.000732375,Caudovirales,Siphoviridae,N,lytic,614_0,Bacteroides,164,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_34_length_3993_cov_2_190895-cat_2,0.00073967,Caudovirales,Siphoviridae,N,lytic,666_0,NA,63,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_243_length_4000_cov_4_289698-cat_2,0.000741129,Unassigned,Unassigned,N,lysogenic,Outlier,Bacteroides,70,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_36_length_4171_cov_6_622615-cat_2,0.000748589,Unassigned,Unassigned,N,lytic,Outlier,NA,74,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_38_length_4436_cov_3_724762-cat_2,0.000749591,Unassigned,Unassigned,N,lytic,647_0,Enterocloster,72,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_24_length_3007_cov_1_689583-cat_2,0.000753843,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,48,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_3_length_10637_cov_5_902474-cat_2,0.000754196,Caudovirales,Myoviridae,N,lytic,Outlier,NA,182,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_12_length_17256_cov_3_417946-cat_1,0.000757387,Caudovirales,Siphoviridae,N,lysogenic,179_0,Hungatella,305,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_68_length_4499_cov_1_891354-cat_1,0.000770304,Caudovirales,Siphoviridae,N,lytic,Singleton,NA,79,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_12_length_11798_cov_7_229458-cat_2,0.000770698,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,210,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_10_length_15183_cov_16_947330-cat_1,0.000770915,Caudovirales,Siphoviridae,N,lysogenic,647_0,Enterocloster,266,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_25_length_5938_cov_3_665978-cat_2,0.000779642,Caudovirales,Siphoviridae,N,lysogenic,178_0,Hungatella,101,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_37_length_8573_cov_4_528771-cat_2,0.000784031,Caudovirales,Podoviridae,N,lysogenic,654_0,Bacteroides,149,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_76_length_6190_cov_3_134092-cat_2,0.000790713,Unassigned,Unassigned,N,lytic,689_0,NA,106,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_52_length_4012_cov_2_253539-cat_2,0.00079913,Caudovirales,Siphoviridae,N,lytic,178_0,Hungatella,68,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_31_length_3199_cov_1_504883-cat_2,0.000803126,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,59,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_36_length_10560_cov_2_688201-cat_2,0.00080417,Caudovirales,Caudovirales,N,lysogenic,654_0,Bacteroides,192,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_73_length_3095_cov_1_154313-cat_2,0.000804983,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,57,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_9582_cov_3_853940-cat_1,0.000806323,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,172,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_18_length_4381_cov_2_581570-cat_2,0.000810481,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,79,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_12_length_15772_cov_3_809076-cat_2,0.000814801,Caudovirales,Siphoviridae,N,lytic,Overlap,NA,280,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_12188_cov_2_798027-cat_2,0.00081533,Caudovirales,Siphoviridae,N,lytic,Outlier,Enterocloster,245,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_30_length_6462_cov_2_322968-cat_2,0.000818925,Caudovirales,Siphoviridae,N,lysogenic,Outlier,NA,123,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_4_length_32668_cov_4_748932-cat_1,0.000819179,Caudovirales,Siphoviridae,N,lysogenic,179_0,Hungatella,648,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_28531_cov_7_819462-cat_1,0.000822748,Caudovirales,Siphoviridae,N,lysogenic,179_0,Hungatella,551,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_8_length_11264_cov_2_539643-cat_1,0.000824609,Caudovirales,Siphoviridae,N,lytic,Outlier,Hungatella,214,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_53_length_3726_cov_2_579328-circular-cat_2,0.000827913,Caudovirales,Siphoviridae,N,lytic,Outlier,Hungatella,71,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_32_length_5781_cov_2_249027-cat_1,0.000829311,Caudovirales,Siphoviridae,N,lytic,Outlier,Enterocloster,108,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_3_length_46453_cov_7_572443-circular-cat_1,0.000831511,Caudovirales,Myoviridae,N,lysogenic,271_0,NA,965,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_23_length_6484_cov_71_879346-circular-cat_1,0.000831657,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,117,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_7_length_26000_cov_15_682217-cat_1,0.000831892,Caudovirales,Siphoviridae,N,lysogenic,654_0,Bacteroides,493,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_14_length_4199_cov_1_686149-cat_1,0.000839982,Caudovirales,Siphoviridae,N,lytic,Outlier,Clostridium,79,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_55_length_5823_cov_3_531777-cat_1,0.000843819,Unassigned,Unassigned,N,lytic,759_0,NA,112,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_2_length_29960_cov_5_076191-cat_1,0.000848247,Caudovirales,Siphoviridae,N,lysogenic,179_0,Hungatella,597,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_13_length_5511_cov_2_067979-cat_2,0.000851249,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Hungatella,117,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_7_length_24233_cov_10_555256-cat_1,0.000851697,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,468,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_21_length_8840_cov_5_034661-cat_2,0.000851916,Caudovirales,Siphoviridae,N,lytic,666_0,NA,168,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_19_length_9102_cov_21_715432-cat_2,0.000860364,Caudovirales,Siphoviridae,N,lytic,647_0,Enterocloster,171,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_1_length_6571_cov_6_048107-cat_1,0.000861485,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,133,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_193_length_3105_cov_29_157152-cat_2,0.000861873,Caudovirales,Siphoviridae,N,lytic,Outlier,Hungatella,69,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_20_length_4113_cov_58_365780-cat_2,0.000879134,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster,82,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_29_length_3349_cov_2_007759-cat_2,0.000882796,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Hungatella,63,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_50_length_4630_cov_2_089274-cat_1,0.000908122,Caudovirales,Myoviridae,N,lytic,Outlier,NA,107,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_8_length_6694_cov_3_212578-cat_2,0.000910024,Caudovirales,Siphoviridae,N,lysogenic,178_0,Hungatella,126,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_11_length_9405_cov_8_080729-cat_1,0.000912588,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster,205,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_1_length_41711_cov_125_810937-cat_1,0.000914011,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,862,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_254_length_6075_cov_402_150303-circular-cat_1,0.000917427,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,122,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_61_length_3350_cov_1867_797394-cat_1,0.000918009,no_order_Microviridae,Microviridae,N,lytic,714_0,Bacteroides,71,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_19_length_14564_cov_4_032625-cat_1,0.000920555,Caudovirales,Siphoviridae,N,lytic,648_0,Enterocloster,296,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_83_length_3023_cov_2_213052-cat_1,0.00093337,Caudovirales,Myoviridae,N,lytic,Outlier,NA,71,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_55_length_3831_cov_2_446274-cat_1,0.000936121,Caudovirales,Caudovirales,N,lytic,Outlier,NA,84,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_25_length_4255_cov_813_456153-cat_2,0.000943995,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,92,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_168_length_3818_cov_3_280412-cat_1,0.000979811,no_order_Microviridae,Microviridae,N,lytic,714_0,Bacteroides,85,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_27_length_6630_cov_3_333538-cat_2,0.000988676,Caudovirales,Siphoviridae,N,lytic,666_0,NA,137,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_51_length_6484_cov_389_177442-circular-cat_1,0.000995982,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,138,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_31_length_6728_cov_10_150886-cat_2,0.001005308,Caudovirales,Siphoviridae,N,lytic,647_0,Enterocloster,158,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_64_length_4468_cov_2_915688-cat_2,0.00100688,Unassigned,Unassigned,N,lytic,689_0,NA,93,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_11_length_4545_cov_2_375057-cat_2,0.001016425,Caudovirales,Siphoviridae,N,lysogenic,178_0,Hungatella,102,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_32_length_3172_cov_2_203612-cat_2,0.001017263,Unassigned,Unassigned,N,lytic,Outlier,NA,73,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_10_length_17062_cov_3_750458-cat_1,0.00102386,Caudovirales,Myoviridae,N,lytic,Outlier,NA,420,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_36318_cov_14_960957-cat_1,0.001023905,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,821,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_133_length_4055_cov_218_105652-cat_1,0.001027841,Unassigned,Unassigned,N,lytic,713_0,Bacteroides,97,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_19_length_6484_cov_74_464842-circular-cat_1,0.001039869,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,139,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_63_length_4867_cov_423_282068-cat_2,0.001054491,no_order_Microviridae,Microviridae,N,lytic,714_0,Bacteroides,113,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_14_length_17543_cov_4_780547-cat_2,0.00106437,Caudovirales,Siphoviridae,N,lytic,648_0,Enterocloster,414,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_7_length_29932_cov_9_708338-cat_2,0.001087005,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,730,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_1_length_41370_cov_7_879204-cat_1,0.001087312,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,994,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_9_length_23921_cov_3_804026-cat_2,0.00109107,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,595,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_21_length_6610_cov_518_650008-cat_1,0.001108537,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,161,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_85_length_6484_cov_80_882177-circular-cat_1,0.001119307,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,159,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_12_length_3020_cov_1_596613-cat_2,0.001123162,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,84,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_61_length_3735_cov_1_857539-cat_2,0.001161236,Unassigned,Unassigned,N,lytic,Outlier,NA,98,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_13_length_7907_cov_2_810540-cat_2,0.001190259,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,210,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_41404_cov_17_603871-circular-cat_1,0.001215771,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,1139,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_34_length_4324_cov_4_658566-cat_2,0.001231748,Unassigned,Unassigned,N,lytic,Outlier,NA,124,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_21046_cov_32_353076-cat_2,0.001235461,Caudovirales,Siphoviridae,N,lytic,Outlier,Enterocloster,592,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_165_length_3019_cov_2_989627-cat_1,0.001243533,Unassigned,Unassigned,N,lytic,760_0,NA,95,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_5_length_41404_cov_32_191656-circular-cat_1,0.00126125,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,1169,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_143_length_4732_cov_18_712921-cat_2,0.001301741,Unassigned,Unassigned,N,lytic,Outlier,Alistipes,148,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_7_length_21374_cov_10_547277-cat_2,0.001335555,Caudovirales,Siphoviridae,N,lysogenic,648_0,Enterocloster,624,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_5_length_11490_cov_5_811845-cat_2,0.001370653,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster,341,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_11_length_57290_cov_70_281388-circular-cat_1,0.001372236,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,1821,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_10_length_5603_cov_2_540175-cat_2,0.001377135,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,171,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_4_length_8073_cov_3_528442-cat_2,0.001399737,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,254,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_22_length_8642_cov_38_792601-cat_2,0.00140132,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster,274,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_201_length_3106_cov_2_146694-cat_2,0.001409548,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,95,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_16_length_7291_cov_3_253071-cat_2,0.001411407,Caudovirales,Siphoviridae,N,lytic,Outlier,Enterocloster,220,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_115_length_3288_cov_1_874407-cat_1,0.001460896,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,125,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_1_length_57294_cov_124_944741-circular-cat_1,0.001468711,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,1923,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_7_length_4874_cov_3_059617-cat_2,0.001482988,Unassigned,Unassigned,N,lytic,Outlier,Enterocloster,159,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_261_length_3196_cov_1_242750-cat_2,0.001523912,Unassigned,Unassigned,N,lytic,Outlier,NA,128,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_19_length_4481_cov_2_417317-cat_2,0.001546899,Caudovirales,Siphoviridae,N,lytic,Outlier,Enterocloster,158,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_23_length_17548_cov_4_488548-cat_2,0.001566695,Caudovirales,Siphoviridae,N,lysogenic,Outlier,Enterocloster,625,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_3_length_57227_cov_15_151051-cat_1,0.001578201,Caudovirales,Siphoviridae,N,lysogenic,529_0,Bacteroides,2120,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_73_length_3927_cov_1_386053-cat_2,0.001584069,Unassigned,Unassigned,N,lytic,Outlier,Alistipes,146,UC_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__3-3_10_17],VIRSorter_NODE_6_length_26227_cov_35_958199-cat_1,0.001593982,Caudovirales,Siphoviridae,N,lytic,529_0,Bacteroides,1000,UC_Phage
